Month,Day,Year,Race Number,Purse,Post No,Horse Name,Horse ID,Jockey ID,Trainer ID,Owner ID,Breeder,Breed,Color,Sex,Foaled Month,Foaled Day,Foaled Year,Father,Mother,Grandfather,Career Starts,Career Firsts,Career Seconds,Career Thirds,Career Speed,Career Earnings,Career Eps,Price,Number of Races,Average Finish Position,Average Race Speed
6,8,2024,1,33000.0,1,Honeycrisp,10785997,138589,7799,927982,33,0,1,1,4,16,2020,8027213,8825961,5331590,7,0,0,2,64.0,11270.0,1610.0,0.0,7,4.571428571428571,54.857142857142854
6,8,2024,1,33000.0,2,Blazing Performer,10978351,142402,6596,2310284,22,0,0,1,3,18,2021,9694239,9121341,7198670,1,0,0,0,62.0,400.0,400.0,30000.0,1,7.0,62.0
6,8,2024,1,33000.0,3,Chuck's Every Wish,11007278,161966,10518,2310268,0,0,1,1,4,12,2021,4687572,8019867,4292897,1,0,0,0,5.0,400.0,400.0,0.0,1,8.0,5.0
6,8,2024,1,33000.0,4,Rosalina,10975193,163653,975517,2105798,34,0,1,1,3,26,2021,9699593,10095594,8333257,4,0,0,0,29.0,4950.0,1238.0,0.0,3,5.666666666666667,23.333333333333332
6,8,2024,1,33000.0,5,Blues Cross,11105855,157424,40475,800846,46,0,0,1,3,1,2021,8549178,8859234,4641833,3,0,0,0,22.0,1880.0,627.0,0.0,3,7.333333333333333,21.0
6,8,2024,1,33000.0,6,Dropped Cold,10804303,164312,40475,800846,45,0,2,1,4,26,2020,9908359,7812019,4292709,9,0,1,2,67.0,15214.0,1690.0,0.0,9,4.666666666666667,26.88888888888889
6,8,2024,2,14000.0,1,Shut Up Michael,10656973,163653,258862,1102118,18,0,0,2,3,18,2019,9537544,8683315,4500187,18,2,1,3,97.0,105078.0,5838.0,1351.0,4,4.0,66.0
6,8,2024,2,14000.0,2,Driskill,10594314,138589,964585,2125284,41,0,0,2,2,20,2019,4507870,8853563,4966077,23,3,1,4,85.0,57224.0,2488.0,0.0,0,0,0
6,8,2024,2,14000.0,3,Samurai Mike,9885344,161966,975517,2331091,8,0,0,2,3,22,2015,7440225,1338856,633722,58,7,6,9,91.0,79061.0,1363.0,1200.0,27,3.5555555555555554,71.55555555555556
6,8,2024,2,14000.0,4,Vroysky,10289809,142723,964585,1537722,28,0,1,2,5,12,2017,4963096,5018775,756587,35,6,2,6,96.0,82515.0,2358.0,33000.0,0,0,0
6,8,2024,2,14000.0,5,Hit the Seam,9875277,163075,964585,1537722,32,0,0,2,2,27,2015,7739767,4967293,1443878,61,7,13,12,105.0,285824.0,4686.0,0.0,4,3.75,67.75
6,8,2024,2,14000.0,6,Happy Hour Bobby,10653010,163495,2894,780437,1,0,2,2,3,31,2019,8838634,8569486,6277345,18,2,4,3,98.0,83806.0,4656.0,0.0,15,3.933333333333333,69.73333333333333
6,8,2024,2,14000.0,7,Lucky Smile,10628162,147182,4087,803390,47,0,1,2,6,1,2019,6106474,7452939,1392779,17,4,1,0,85.0,43620.0,2566.0,0.0,0,0,0
6,8,2024,2,14000.0,8,O Dogg,10412255,134563,6146,785263,5,0,2,2,2,21,2018,4322623,8004582,5363936,17,2,2,0,87.0,64468.0,3792.0,45000.0,6,4.833333333333333,63.666666666666664
6,8,2024,3,16500.0,1,Lady Astrid,10459457,164312,953418,1946039,25,0,0,4,3,24,2018,9504367,8345939,4299496,29,3,2,1,86.0,130663.0,4506.0,0.0,10,4.5,68.6
6,8,2024,3,16500.0,2,Warrior's Moon,10252107,142723,964585,1537722,43,0,1,4,2,26,2017,7762627,9327779,6917350,35,3,1,9,94.0,198740.0,5678.0,0.0,0,0,0
6,8,2024,3,16500.0,5,Child Proof,10773314,142402,14102,1258931,3,0,0,1,3,12,2020,8828956,8685140,6506677,17,5,3,3,82.0,73955.0,4350.0,3200.0,0,0,0
6,8,2024,3,16500.0,6,Merlin's Sister,10458529,166491,971175,2237062,29,0,3,4,4,23,2018,9084245,6825898,4013090,30,3,1,3,80.0,39190.0,1306.0,0.0,13,4.6923076923076925,63.92307692307692
6,8,2024,3,16500.0,7,Irazu,10453644,157424,2882187,2139463,24,0,0,4,5,11,2018,8540470,8818524,4531602,50,4,7,7,90.0,121375.0,2428.0,3700.0,0,0,0
6,8,2024,3,16500.0,8,Withherbootson,10502344,139702,46277,2143667,35,0,1,4,5,26,2018,9515226,6891556,4009922,30,3,8,4,73.0,80983.0,2699.0,9000.0,21,3.238095238095238,58.04761904761905
6,8,2024,3,16500.0,9,Fall Moon,10285479,123440,14102,2211762,4,0,1,4,3,17,2017,8564684,9517819,7789704,46,4,4,7,94.0,104128.0,2264.0,45000.0,15,4.333333333333333,80.6
6,8,2024,4,50000.0,1,Sunshine Fever,10615988,163653,8222,1516023,40,0,2,4,4,26,2019,4656607,7716703,4338487,6,2,1,0,78.0,42740.0,7123.0,15000.0,6,3.0,64.0
6,8,2024,4,50000.0,2,Thunders Rocknroll,10755974,147182,2894,780437,1,0,0,1,2,27,2020,8259272,9096288,1369240,14,4,3,1,91.0,177599.0,12686.0,68000.0,7,2.142857142857143,77.57142857142857
6,8,2024,4,50000.0,3,She's My Warrior,10594966,123440,14102,2212427,31,0,0,4,3,15,2019,7733684,7208142,1449123,20,5,2,2,90.0,207622.0,10381.0,0.0,12,2.8333333333333335,72.83333333333333
6,8,2024,4,50000.0,4,Birdie Be Gone,10443536,138589,7799,1848861,10,0,3,4,3,22,2018,8294391,7393401,4686478,23,10,2,1,89.0,165024.0,7175.0,45000.0,12,2.75,69.66666666666667
6,8,2024,4,50000.0,5,Cupids Crush,10802373,142402,40298,2220943,23,0,0,1,2,9,2020,9560551,9498100,1361470,10,5,3,1,94.0,237887.0,23789.0,40000.0,8,1.625,77.25
6,8,2024,4,50000.0,6,Lover Girl,10774101,163495,245538,2098298,12,0,2,1,3,13,2020,5311090,6490536,4037186,14,3,1,4,90.0,157220.0,11230.0,0.0,6,2.0,64.83333333333333
6,8,2024,5,50000.0,1,Doctor Oscar,10615467,123440,14102,1313101,30,0,0,3,4,17,2019,8276427,8973881,1278764,24,9,4,3,111.0,340217.0,14176.0,0.0,11,1.9090909090909092,92.81818181818181
6,8,2024,5,50000.0,2,Sir Sterling,10910277,147182,8222,1106291,7,0,2,2,5,11,2020,4450888,9304800,7490447,13,4,0,2,90.0,119801.0,9215.0,0.0,7,3.142857142857143,60.0
6,8,2024,5,50000.0,4,Thealligatorhunter,10460625,142402,14102,2212427,31,0,1,2,3,9,2018,8876669,7208142,1449123,29,12,3,4,106.0,386660.0,13333.0,0.0,19,2.4210526315789473,87.42105263157895
6,8,2024,5,50000.0,5,Xavey Dave,10587232,163075,40298,1883101,44,0,2,3,2,7,2019,7422049,8534186,4654131,18,4,4,2,106.0,190288.0,10572.0,0.0,12,2.5833333333333335,87.66666666666667
6,8,2024,5,50000.0,6,Bayou Benny,10454516,163653,218416,1516023,48,0,2,2,4,14,2018,6783066,8348998,4299496,18,3,6,3,94.0,149291.0,8294.0,0.0,14,2.5714285714285716,84.57142857142857
6,8,2024,6,30000.0,2,Crafty King,10747311,163653,14686,2179566,20,0,1,2,1,24,2020,9314281,9507532,4297000,16,3,1,3,92.0,51751.0,3234.0,30000.0,0,0,0
6,8,2024,6,30000.0,3,Artie's Angel,10575957,123440,14102,813504,19,0,0,2,2,6,2019,9178571,8843822,4335726,24,4,2,2,97.0,115728.0,4822.0,5000.0,0,0,0
6,8,2024,6,30000.0,4,Table for Two,10644748,163495,218345,2323595,14,0,2,2,3,8,2019,7788023,7690730,5212202,22,3,3,5,98.0,109255.0,4966.0,3700.0,0,0,0
6,8,2024,6,30000.0,5,Mission Key,10281551,160773,241494,1873765,36,0,3,2,4,10,2017,8010260,7204735,4476866,23,3,3,7,96.0,92865.0,4038.0,0.0,0,0,0
6,8,2024,6,30000.0,6,Il Capitano,10604059,138589,964585,1537722,37,0,1,2,4,6,2019,9514713,7838271,6150237,33,7,5,4,104.0,192000.0,5818.0,50000.0,1,3.0,79.0
6,8,2024,6,30000.0,7,Face Value,10774717,157424,14686,1436337,13,0,0,2,3,24,2020,4823628,9906346,6106474,16,2,1,2,90.0,41476.0,2592.0,20000.0,0,0,0
6,8,2024,6,30000.0,9,Silver Dash,10266021,163075,958993,836384,50,0,3,2,3,13,2017,8832213,5771954,883215,31,6,9,5,97.0,139218.0,4491.0,21000.0,21,2.619047619047619,71.9047619047619
6,8,2024,6,30000.0,10,Loring Park,10436054,147182,39754,811049,22,0,0,2,3,12,2018,8834015,8885295,4322623,24,4,8,4,91.0,125482.0,5228.0,0.0,16,2.375,76.5
6,8,2024,7,30500.0,1,Crew Dragon,10472261,3078758,40298,1008627,21,0,1,2,1,23,2018,9465075,9514717,4300692,27,2,5,5,105.0,185995.0,6889.0,110000.0,1,3.0,78.0
6,8,2024,7,30500.0,3,Jacks Outlaw,10417185,163075,964585,1537722,16,0,2,3,5,17,2017,8876411,6474707,1251574,40,8,2,8,108.0,135815.0,3395.0,5000.0,3,2.6666666666666665,89.0
6,8,2024,7,30500.0,4,Diamond City,10588447,157424,254002,2263566,6,0,1,2,2,28,2019,8276427,9317331,6106474,22,2,5,5,94.0,206422.0,9383.0,290000.0,0,0,0
6,8,2024,7,30500.0,5,Lake Bee,11148778,139702,46277,1971797,26,0,1,2,4,21,2021,9699593,9101135,1227120,11,4,2,2,89.0,118017.0,10729.0,0.0,1,4.0,74.0
6,8,2024,7,30500.0,6,Crocodilehunter,10789323,123440,14102,2212427,31,0,0,0,4,7,2020,8737601,7208142,1449123,11,3,0,1,91.0,65397.0,5945.0,0.0,6,2.8333333333333335,73.5
6,8,2024,7,30500.0,7,Bayou Colonel,10255307,163495,218416,835725,49,0,0,2,2,22,2017,7414334,8693962,1318476,13,3,2,0,91.0,62602.0,4816.0,0.0,12,4.083333333333333,68.33333333333333
6,8,2024,7,30500.0,8,Hap Hot,10655305,147182,8222,2240136,38,0,1,2,4,27,2019,9284092,7259073,4034562,18,6,1,2,97.0,116911.0,6495.0,0.0,11,4.363636363636363,68.0909090909091
6,8,2024,7,30500.0,9,Euromantic,10230547,163653,116936,2182481,39,0,1,2,1,9,2017,7240922,9079043,7109897,36,5,9,4,96.0,240934.0,6693.0,0.0,10,3.5,76.6
6,8,2024,8,12500.0,1,David's Faith,10949066,138589,4087,2315837,27,0,0,2,2,23,2021,7499258,8059518,5377049,7,0,1,0,62.0,8360.0,1194.0,22000.0,1,6.0,26.0
6,8,2024,8,12500.0,2,Tarps Storm,10815347,142402,972400,2114144,2,0,0,2,4,24,2020,8922689,8563646,4327307,2,0,0,0,25.0,593.0,297.0,0.0,0,0,0
6,8,2024,8,12500.0,3,Mafia,10786637,163653,213730,2342324,15,0,2,2,4,8,2020,4966077,8962385,1319822,4,0,0,1,58.0,4365.0,1091.0,0.0,0,0,0
6,8,2024,8,12500.0,4,Cowboy Cause,10994056,3078758,975517,2331091,9,0,0,0,1,23,2021,9515226,9474219,8127360,5,0,0,0,48.0,975.0,195.0,4500.0,0,0,0
6,8,2024,8,12500.0,5,Ukraine Strong,10947410,139702,46277,1971797,17,0,0,2,2,17,2021,9720456,9515411,5311090,4,0,0,0,50.0,700.0,175.0,20000.0,0,0,0
6,8,2024,8,12500.0,6,Chasentheone,10935497,123440,14102,1258931,11,0,0,2,1,27,2021,9526872,9284027,7187963,9,0,1,3,74.0,12747.0,1416.0,17000.0,0,0,0
6,8,2024,8,12500.0,7,Proof of Purchase,11123905,145663,42046,2712081,42,0,0,2,3,21,2021,9493729,9079634,4304973,5,0,0,0,49.0,1855.0,371.0,0.0,0,0,0
